,id,Mrs,Ms,Hc,Xhf,Q,Qeff,Hcr,site,hole,core,section,interval,top [cm],bottom [cm],lithology principal name,top depth csf-a (m)
0,U1449A001H4080,1.1105010248890669e-05,6.273395021902454e-05,0.011593635061097118,0.00050243661799202,6.19958180591903,4.562799647225606,0.027358775276591026,U1449,A,1,4,8,0,14,calcareous clay,5.35
1,U1449A001H4080,1.1157617550141156e-05,6.532190002485442e-05,0.011407885791188788,0.0005179996731882063,6.59297323601786,4.833306831187932,0.027358775276591026,U1449,A,1,4,8,0,14,calcareous clay,5.35
2,U1449A001H5044,1.1877147714427876e-05,7.244891349230694e-05,0.012052154817649097,0.0005490961565908896,6.260361186844014,4.592256080145478,0.033559969739110136,U1449,A,1,5,4,0,56,calcareous clay,6.0
3,U1449A002H1033,4.712980567660437e-05,0.00017641093261257592,0.01634621341944842,0.0007589787452179913,6.343974536124768,5.187702437485481,0.048853278756404356,U1449,A,2,1,3,0,28,sand,6.53
4,U1449A005H1012,3.8494727518780294e-05,0.00011322116100305403,0.02143137666180195,0.000707828848253689,6.163655454298191,4.6782751459314795,0.0554830541120625,U1449,A,5,1,1,0,10,sand,17.12
5,U1449A005H1012,3.8580302903165305e-05,0.00011321336775513833,0.0214870209972442,0.0007143032438551994,5.2212729068188946,4.296835746008287,0.0554830541120625,U1449,A,5,1,1,0,10,sand,17.12
6,U1449A006F1097,5.3198558822695686e-05,0.00013933266374581855,0.02609785302312817,0.0007521334656931439,6.267029220953551,4.899009811702359,0.06188996301740033,U1449,A,6,1,9,0,70,clay,20.97
7,U1449A006F3065,4.981160915463625e-05,0.00013949994839882937,0.024295790169421072,0.0008430761956942057,6.236599700373252,4.858857708181762,0.05889857472533834,U1449,A,6,3,6,0,21,sand,23.65
8,U1449A007H2009,3.332585009078239e-05,0.00013023034571503,0.017990666844223124,0.0006358373795954889,6.4924544107097955,4.835942797654015,0.05608211215026091,U1449,A,7,2,0,0,50,clay,26.09
9,U1449A007H2057,2.1945860980239027e-06,2.6187172443023953e-05,0.006085662082545573,1.784784023458775e-05,6.074531706525031,5.667561945880156,0.051121326953141755,U1449,A,7,2,5,0,50,clay,
10,U1449A007H2057,2.1945860980239027e-06,2.6187172443023953e-05,0.006085662082545573,1.784784023458775e-05,6.074531706525031,5.667561945880156,0.051121326953141755,U1449,A,7,2,5,0,50,clay,
11,U1449A007H3005,2.2298234599348778e-06,1.3929532072519116e-05,0.008891679370289785,1.706271752021704e-05,5.205801848602706,4.7676782289570765,0.04388702903728227,U1449,A,7,3,0,0,49,clay,
12,U1449A007H3005,2.2298234599348778e-06,1.3929532072519116e-05,0.008891679370289785,1.706271752021704e-05,5.205801848602706,4.7676782289570765,0.04388702903728227,U1449,A,7,3,0,0,49,clay,
13,U1449A007H4038,4.3087308397745644e-05,0.00012984735340327257,0.02298554158622912,0.000689680469048809,6.322403368669602,5.018401549910474,0.06030240665232192,U1449,A,7,4,3,0,49,clay,28.85
14,U1449A008H1030,2.411361512536849e-05,0.00011056771262384784,0.016098055507189013,0.0007280361570281371,5.823871762524686,4.110855974589097,0.05208372480651571,U1449,A,8,1,3,0,3,sand,34.3
15,U1449A008H1030,2.411361512536849e-05,0.00011056771262384784,0.016098055507189013,0.0007280361570281371,5.823871762524686,4.110855974589097,0.05208372480651571,U1449,A,8,1,3,3,41,clay,34.3
16,U1449A008H1030,2.3281185420904748e-05,0.0001108851087308683,0.014368894109937913,0.00074087170701992,5.21211451004484,3.552626466410568,0.05208372480651571,U1449,A,8,1,3,0,3,sand,34.3
17,U1449A008H1030,2.3281185420904748e-05,0.0001108851087308683,0.014368894109937913,0.00074087170701992,5.21211451004484,3.552626466410568,0.05208372480651571,U1449,A,8,1,3,3,41,clay,34.3
18,U1449A014F2049,1.4135686066954969e-05,5.6420404605525575e-05,0.02046826382690392,0.0008725649890089936,6.076511689077167,3.80728382626867,0.05485215623845183,U1449,A,14,2,4,0,31,clay,73.39
19,U1449A015F2028,6.529915960728084e-05,0.0002129317526830888,0.022559512779890545,0.000974694028824061,6.3739831386771275,5.0588434325941005,0.0629989109513823,U1449,A,15,2,2,0,20,sand,76.18
20,U1449A017F1036,2.0946515491707342e-06,1.7820577529930443e-05,0.022854185173465158,0.0008447578806055366,6.039477571625832,3.0081338666124453,0.04790059252916272,U1449,A,17,1,3,0,26,clay,83.66
21,U1449A017F2019,4.3254805328188186e-05,9.947985933568462e-05,0.032207166369146,0.0009747688305976191,6.166591050347543,4.421918468879717,0.06924177390716546,U1449,A,17,2,1,0,147,clay,84.99
22,U1449A017F2067,7.459495653477806e-06,3.119901774860335e-05,0.02663126728725873,0.0008871252324065599,6.080294994864934,3.3384789654481537,0.0721792588965133,U1449,A,17,2,6,0,147,clay,
23,U1449A018H6087,5.581984785497902e-07,4.635699464273867e-06,0.023620376554782108,0.00019030422926662175,5.812209697731861,2.877967859284056,0.034842396198549695,U1449,A,18,6,8,0,42,calcareous clay,96.37
24,U1449A018H6087,5.910231626467852e-07,4.5116276609792735e-06,0.025395195940857707,0.00018835790886647942,5.581586054334067,2.5977318388177957,0.034842396198549695,U1449,A,18,6,8,0,42,calcareous clay,96.37
25,U1449A019H1081,3.785066310652532e-05,9.644592611439515e-05,0.025165700373194655,0.0008173268945597752,6.030233340272517,4.286524619165685,0.05397114249447919,U1449,A,19,1,8,0,9,clay,98.31
26,U1449A019H1103,0.00029745913004943566,0.0006824025699107756,0.044343853432082636,0.0006622531553614175,6.375760989434377,5.562060503286864,0.06183422213357235,U1449,A,19,1,10,9,20,silt,98.53
27,U1449A019H3055,0.03246277111414397,0.09656105097972367,0.029052901679453617,0.8170146599267849,6.163466773826653,4.529858077483759,0.05372111480460105,U1449,A,19,3,5,0,38,clay,101.05
28,U1449A019H3055,0.03246277111414397,0.09656105097972367,0.029052901679453617,0.8170146599267849,6.163466773826653,4.529858077483759,0.05372111480460105,U1449,A,19,3,5,0,38,clay,101.05
29,U1449A020F1010,1.794199032800547e-06,6.137597970770887e-06,0.019329382792335426,2.485686313441978e-05,5.544036070819585,4.499630307527089,0.06371971749724802,U1449,A,20,1,1,0,15,clay,
30,U1449A020H1034,4.858461933507321e-06,2.2401657507535388e-05,0.017034124564311637,0.00022478923985969163,6.00478243589592,4.136087049680368,0.035664668696716445,U1449,A,20,1,3,0,15,clay,105.44
31,U1449A020F1010,1.794199032800547e-06,6.137597970770887e-06,0.019329382792335426,2.485686313441978e-05,5.544036070819585,4.499630307527089,0.06371971749724802,U1449,A,20,1,1,0,15,clay,
32,U1449A020H3027,3.9627381354147715e-05,0.0001259971622384606,0.020742400454543453,0.0006379779232614688,5.681391310319161,3.2525382418478195,0.058848619006103636,U1449,A,20,3,2,0,74,clay,107.87
33,U1450A001H5010,7.682121380596741e-07,3.1705807446408433e-06,0.016667789086907914,2.074420669551838e-05,5.061726927680127,3.8054469789680336,0.048859390853217985,U1450,A,1,5,1,0,150,clay,
34,U1450A001H5010,7.682121380596741e-07,3.1705807446408433e-06,0.016667789086907914,2.074420669551838e-05,5.061726927680127,3.8054469789680336,0.048859390853217985,U1450,A,1,5,1,0,150,clay,
35,U1450A001H6085,6.006394283420777e-07,4.809075064793385e-06,0.006917402914490833,1.9431987641052353e-05,4.982751069613465,3.9609764650925996,0.030796799997908693,U1450,A,1,6,8,0,35,clay,
36,U1450A001H6085,6.006394283420777e-07,4.809075064793385e-06,0.006917402914490833,1.9431987641052353e-05,4.982751069613465,3.9609764650925996,0.030796799997908693,U1450,A,1,6,8,0,35,clay,
37,U1450A002H2015,0.03435816187347092,0.11400469434311111,0.02728504454770963,0.7668914340424431,6.209709580427556,4.763710482235594,0.053528974764951436,U1450,A,2,2,1,0,140,calcareous clay,9.78
38,U1450A003H2005,1.3213304536396714e-06,3.509418428110037e-05,0.0011070211405299624,1.676132874137955e-05,4.835775551279384,4.511425004133116,0.014227028114973558,U1450,A,3,2,0,0,120,sand,
39,U1450A003H2005,1.3213304536396714e-06,3.509418428110037e-05,0.0011070211405299624,1.676132874137955e-05,4.835775551279384,4.511425004133116,0.014227028114973558,U1450,A,3,2,0,0,120,sand,
40,U1450A003H3082,1.4509369213023318e-06,2.979755603302213e-05,0.00019704579580970272,1.590519175269858e-05,4.535180851464471,4.1562563788256,0.015108771605185627,U1450,A,3,3,8,0,87,sand,
41,U1450A003H3082,1.401896635011312e-06,3.0146055700644572e-05,0.0017955563666407492,1.4994909233278738e-05,4.294997072878331,4.058386711596466,0.015108771605185627,U1450,A,3,3,8,0,87,sand,
42,U1450A003H3082,1.4509369213023318e-06,2.979755603302213e-05,0.00019704579580970272,1.590519175269858e-05,4.535180851464471,4.1562563788256,0.015108771605185627,U1450,A,3,3,8,0,87,sand,
43,U1450A003H3082,1.401896635011312e-06,3.0146055700644572e-05,0.0017955563666407492,1.4994909233278738e-05,4.294997072878331,4.058386711596466,0.015108771605185627,U1450,A,3,3,8,0,87,sand,
44,U1450A003H5100,9.90107789465549e-07,2.196273738500398e-05,0.0017740826299855739,1.5859034813285594e-05,4.8855281725328865,4.577591800406723,0.01500003614262767,U1450,A,3,5,10,0,114,sand,
45,U1450A003H5100,9.90107789465549e-07,2.196273738500398e-05,0.0017740826299855739,1.5859034813285594e-05,4.8855281725328865,4.577591800406723,0.01500003614262767,U1450,A,3,5,10,0,114,sand,
46,U1450A007F1050,1.6575401048527826e-06,5.0691647351007454e-05,0.0014542813659469097,1.4573396315219357e-05,4.13391585540775,4.00173113236103,0.007640541089250077,U1450,A,7,1,5,0,105,sand,
47,U1450A007F1050,2.0003333518670798e-06,5.4824309332265595e-05,0.0023802949673156215,1.3242397589059133e-05,3.7928886698366298,3.7020757320124247,0.007640541089250077,U1450,A,7,1,5,0,105,sand,
48,U1450A007F1050,1.6575401048527826e-06,5.0691647351007454e-05,0.0014542813659469097,1.4573396315219357e-05,4.13391585540775,4.00173113236103,0.007640541089250077,U1450,A,7,1,5,0,105,sand,
49,U1450A007F1050,2.0003333518670798e-06,5.4824309332265595e-05,0.0023802949673156215,1.3242397589059133e-05,3.7928886698366298,3.7020757320124247,0.007640541089250077,U1450,A,7,1,5,0,105,sand,
50,U1450A008F1127,0.05873778832945702,0.4006184260874571,0.015590115632725382,0.836310314782748,6.580433545818672,5.991171494253478,0.04715286488878597,U1450,A,8,1,12,0,16,clay,40.27
51,U1450A011F1030,1.3412172960493761e-06,4.795479535045469e-06,0.00859073671942856,3.023805679359476e-05,5.558815704094921,4.1122722645513266,0.055004674226211844,U1450,A,11,1,3,0,5,clay,
52,U1450A011F1030,1.3412172960493761e-06,4.795479535045469e-06,0.00859073671942856,3.023805679359476e-05,5.558815704094921,4.1122722645513266,0.055004674226211844,U1450,A,11,1,3,0,5,clay,
53,U1450A011F2095,1.1039653130745937e-06,5.565212911430658e-06,0.009358233314112896,2.750088675119626e-05,5.500737356126883,4.33948960140215,0.045923303783084776,U1450,A,11,2,9,0,121,sand,
54,U1450A011F2095,1.1039653130745937e-06,5.565212911430658e-06,0.009358233314112896,2.750088675119626e-05,5.500737356126883,4.33948960140215,0.045923303783084776,U1450,A,11,2,9,0,121,sand,
55,U1450A014F1130,5.764587219972966e-07,1.3956456071625735e-05,0.003128006495776603,1.3339566489055147e-05,5.355497728931564,4.953006015847137,0.022955713021011688,U1450,A,14,1,13,0,42,sand,
56,U1450A014F1130,5.764587219972966e-07,1.3956456071625735e-05,0.003128006495776603,1.3339566489055147e-05,5.355497728931564,4.953006015847137,0.022955713021011688,U1450,A,14,1,13,0,42,sand,
57,U1450A014F3077,4.999518725254966e-08,3.6683015821184204e-07,0.00636911227279191,6.930324087063712e-06,4.166007926052139,2.059866287550592,0.03401780791619228,U1450,A,14,3,7,0,11,clay,
58,U1450A014F3077,4.999518725254966e-08,3.6683015821184204e-07,0.00636911227279191,6.930324087063712e-06,4.166007926052139,2.059866287550592,0.03401780791619228,U1450,A,14,3,7,0,11,,
59,U1450A014F3077,4.999518725254966e-08,3.6683015821184204e-07,0.00636911227279191,6.930324087063712e-06,4.166007926052139,2.059866287550592,0.03401780791619228,U1450,A,14,3,7,0,11,clay,
60,U1450A014F3077,4.999518725254966e-08,3.6683015821184204e-07,0.00636911227279191,6.930324087063712e-06,4.166007926052139,2.059866287550592,0.03401780791619228,U1450,A,14,3,7,0,11,,
61,U1450A017F2050,2.020843954740811e-06,1.4458454271058195e-05,0.007373956221155442,1.8878107599541162e-05,5.44608520938208,4.772716725236259,0.04944861881909776,U1450,A,17,2,5,0,28,clay,
62,U1450A017F2050,2.020843954740811e-06,1.4458454271058195e-05,0.007373956221155442,1.8878107599541162e-05,5.44608520938208,4.772716725236259,0.04944861881909776,U1450,A,17,2,5,0,28,clay,
63,U1450A020F2070,0.0001965899164534621,0.000503125086268847,0.03394454512116386,0.0009543482856714306,6.421355792166025,5.783586154560661,0.051906838553037286,U1450,A,20,2,7,0,35,clay,98.0
64,U1450A020F2097,3.7550172909396034e-06,1.3622207206969792e-05,0.015481193044597163,1.9273328572326177e-05,5.29152256073057,4.833345897501175,0.05714463900882008,U1450,A,20,2,9,0,35,clay,
65,U1450A020F3039,0.038720869222208396,0.1227299507273929,0.02685991734831489,0.8287821500312847,6.191363267787223,4.732853707145201,0.002503240413613955,U1450,A,20,3,3,0,22,clay,98.81
66,U1450A020F3039,4.384472468597149e-05,0.00013818946976873502,0.019495373045533948,0.0009426387625257016,6.221056437753429,4.664395131162016,0.002503240413613955,U1450,A,20,3,3,0,22,clay,98.81
67,U1450A027F1122,0.02175802466771516,0.09696582579289903,0.022979489438435,0.8448718957774862,6.190030240663165,4.414324125518297,0.05032384554698803,U1450,A,27,1,12,0,28,clay,129.42
68,U1450A027F1122,0.02175802466771516,0.09696582579289903,0.022979489438435,0.8448718957774862,6.190030240663165,4.414324125518297,0.05032384554698803,U1450,A,27,1,12,0,28,clay,129.42
69,U1450A028F1144,1.4684277165793754e-06,2.8744861704058505e-05,0.0029688330847605915,1.28602699535309e-05,4.269768751190437,4.07106791895189,0.010703592023333566,U1450,A,28,1,14,0,65,sand,
70,U1450A030F1100,5.665934028389127e-07,1.0137863446734975e-05,0.003289052171210005,1.7721339763753755e-05,5.001949526658502,4.353092463483954,0.011754571084090129,U1450,A,30,1,10,0,141,sand,
71,U1450A032F1008,1.6023580762584578e-06,6.332253119932701e-06,0.01637159670694377,2.309532793999698e-05,5.500341053370485,4.515976446135277,0.05882996051352275,U1450,A,32,1,0,0,44,clay,
72,U1450A034F3022,0.0037950637006728557,0.03590701668071228,0.019774335183034463,0.8477978876377432,6.1062614459993565,3.521891242600228,,U1450,A,34,3,2,0,120,calcareous clay,164.62
73,U1450A042F2015,9.648930514885421e-05,0.0001960289085262603,0.02893079683712807,0.0010647557855550229,6.172744736694348,4.998460583084129,0.05551380321178898,U1450,A,42,2,1,0,4,silt,201.0
74,U1450A048F1134,0.03601325900308207,0.08709176401729246,0.03473242104599941,1.0530765660042107,6.073228695908646,4.108977244825288,0.05710217706382221,U1450,A,48,1,13,0,32,clay,229.24
75,U1450A062F2103,1.9784132274601166e-05,4.4711640552311184e-05,0.03358187463562656,0.0008733465855048187,6.001123519096942,3.576996313646618,0.0582170776228874,U1450,A,62,2,10,0,145,clay,296.88
76,U1450A076F1058,3.872701035809494e-05,0.00014167184550850425,0.017310424839059313,0.0009702947300620051,5.998351103307351,4.454708296007109,0.04555818632119672,U1450,A,76,1,5,0,10,calcareous clay,361.48
